photo_id,title,description,latitude,longitude,views,tags_raw,tags_content,url
52323109440,VU SUR PONT NEUF PARIS_MG_0649,,48.858462,2.337523,116,,,https://live.staticflickr.com/65535/52323109440_5cf61b2af1_w.jpg
52088551217,Champs=Elysees-7809957,,48.873879,2.294922,116,"'France', 'Paris'",,https://live.staticflickr.com/65535/52088551217_77cf2f9af1_w.jpg
52103445246,Paris breakfast,,48.850444,2.3581,116,,,https://live.staticflickr.com/65535/52103445246_e041b18a96_w.jpg
52485227378,"Arquitectura. París, Francia.",,48.886611,2.342994,116,"'DAIRO', 'CORREA.', 'Gutiérrez.', '@DAIROCORREA', 'Europa.', 'Viaje.', 'Viaggio.', 'Antiguo', 'Continente.', 'Verano.', 'Summer.', 'Vacaciones.', 'Tranquilidad.'","dairo, correa, gutiérrez, dairocorrea, europa, viaje, viaggio, antiguo, continente, verano, summer, vacaciones, tranquilidad",https://live.staticflickr.com/65535/52485227378_2fed5c4020_w.jpg
52256263701,La Louvre - Monday,,48.860846,2.33644,115,,,https://live.staticflickr.com/65535/52256263701_794847efaa_w.jpg
52117435984,_D812767,,48.856639,2.35146,115,"'Ukraine', 'Ukrainian', 'Ukrainian culture', 'Ukraina', 'manifestation', 'protest', 'demonstration', 'Paris', 'France', 'Europe', 'Conflict', 'War', 'people'",people,https://live.staticflickr.com/65535/52117435984_061b75d938_w.jpg
52150656511,_D815348,,48.857275,2.351524,115,"'Ukraine', 'Ukrainian', 'Ukraina', 'Paris', 'France', 'Europe', 'European Union', 'manifestation', 'demonstration', 'protest', 'people', 'politique', 'Politics'","europeanunion, people",https://live.staticflickr.com/65535/52150656511_2f26ab280a_w.jpg
52185256508,Musée de Cluny,"Musée de Cluny — Musée national du Moyen Âge, Paris, France. || Photo info: Taken 2022-06-12 with Canon EOS 5D Mark IV, EF24-70mm f/2.8L II USM, ¹⁄₈₀ sec at f/3.5, focal length 70 mm, ISO ISO 1250. Copyright 2022 .",48.850478,2.343505,115,"'France', 'Musee de Cluny', 'Paris', 'museum'","museedecluny, museum",https://live.staticflickr.com/65535/52185256508_63526d70b9_w.jpg
52376962828,DSC04567.jpg,,48.86021,2.326395,115,"'Les joueurs de cartes', 'Musée d'Orsay Serie 1', 'Paul Cézanne'","lesjoueursdecartes, muséedorsayserie1, paulcézanne",https://live.staticflickr.com/65535/52376962828_439f520c26_w.jpg
52259022215,Sacre Coeur,,48.886603,2.343049,115,,,https://live.staticflickr.com/65535/52259022215_c85d85abca_w.jpg
52100428248,_D810474,,48.857275,2.351524,115,"'Ukraine', 'Ukrainian', 'Paris', 'France', 'Europe', 'Conflict', 'War', 'manifestation', 'demonstration', 'protest', 'people', 'politique', 'Politics'",people,https://live.staticflickr.com/65535/52100428248_b6036e6427_w.jpg
52187101066,Marche des Fiertés - Paris - 2022,Photo prise lors de la Marche des Fiertés de Paris le 25 juin 2022.  Merci de ne pas mettre d'image dans vos commentaires. Please do not put any picture in your comments.,48.850399,2.37045,114,"'Marche des Fiertés', 'Gay Pride'","marchedesfiertés, gaypride",https://live.staticflickr.com/65535/52187101066_2600194bea_w.jpg
52281424768,"Bateaux, Seine",,48.850688,2.360677,114,,,https://live.staticflickr.com/65535/52281424768_5c81b5082f_w.jpg
52117223178,_D812759,,48.856639,2.35146,114,"'Ukraine', 'Ukrainian', 'Ukrainian culture', 'Ukraina', 'manifestation', 'protest', 'demonstration', 'Paris', 'France', 'Europe', 'Conflict', 'War', 'people'",people,https://live.staticflickr.com/65535/52117223178_e34e30589e_w.jpg
52222567019,Gare Saint-Lazare,Paris 8ème,48.875681,2.324928,114,,,https://live.staticflickr.com/65535/52222567019_a6ea63608e_w.jpg
52251964570,Paris Saint-Germain arena tour,,48.841439,2.253044,114,,,https://live.staticflickr.com/65535/52251964570_c04daa442f_w.jpg
52259022490,Sacre Coeur,,48.886603,2.343049,114,,,https://live.staticflickr.com/65535/52259022490_4080fc95df_w.jpg
52168870025,_D816711,,48.857275,2.351524,114,"'Ukraine', 'Ukrainian', 'Ukraina', 'Europe', 'European Union', 'EU', 'France', 'Paris', 'demonstration', 'protest', 'people', 'politique', 'Politics', 'manifestation', 'Conflict', 'War'","europeanunion, eu, people",https://live.staticflickr.com/65535/52168870025_7b49260d1c_w.jpg
52162428146,Marie-Antoinette,,48.849936,2.348575,114,,,https://live.staticflickr.com/65535/52162428146_f409de6649_w.jpg
52354619516,"Paris, France.",View from Arc de Triomphe,48.874063,2.295405,114,"'Paris', 'France', 'Europe', 'Nikon', 'D500'",,https://live.staticflickr.com/65535/52354619516_df5b8b93ec_w.jpg
52009976424,Flowers,,48.851922,2.336822,113,,,https://live.staticflickr.com/65535/52009976424_4c7501b569_w.jpg
52117435904,_D812773,,48.856639,2.35146,113,"'Ukraine', 'Ukrainian', 'Ukrainian culture', 'Ukraina', 'manifestation', 'protest', 'demonstration', 'Paris', 'France', 'Europe', 'Conflict', 'War', 'people'",people,https://live.staticflickr.com/65535/52117435904_8ea57f309d_w.jpg
52835266176,Jaurès,Station of Paris metro line 2.,48.882255,2.370136,113,"'station', 'Paris', 'Île-de-France', 'metro', 'public transport', 'architecture', 'viaduct', 'bridge', 'pont'","station, îledefrance, metro, publictransport, architecture, viaduct, bridge, pont",https://live.staticflickr.com/65535/52835266176_4bcf3acd53_w.jpg
52338674649,"Paris, France.",,48.85433,2.311388,113,"'Paris', 'France', 'Europe', 'Nikon', 'D500', 'flowers', 'lillies', 'orange'","flowers, lillies, orange",https://live.staticflickr.com/65535/52338674649_04428009c7_w.jpg
52187101496,Marche des Fiertés - Paris - 2022,Photo prise lors de la Marche des Fiertés de Paris le 25 juin 2022.  Merci de ne pas mettre d'image dans vos commentaires. Please do not put any picture in your comments.,48.839384,2.395641,113,"'Marche des Fiertés', 'Gay Pride'","marchedesfiertés, gaypride",https://live.staticflickr.com/65535/52187101496_a609a3b717_w.jpg
52259022425,Sacre Coeur,,48.886603,2.343049,113,,,https://live.staticflickr.com/65535/52259022425_a8c421fe16_w.jpg
52222566859,Gare Saint-Lazare,Paris 8ème,48.875681,2.324928,112,,,https://live.staticflickr.com/65535/52222566859_84fae4c12c_w.jpg
52117183146,_D812778,,48.856639,2.35146,112,"'Ukraine', 'Ukrainian', 'Ukrainian culture', 'Ukraina', 'manifestation', 'protest', 'demonstration', 'Paris', 'France', 'Europe', 'Conflict', 'War', 'people'",people,https://live.staticflickr.com/65535/52117183146_f07a62f926_w.jpg
52269218016,"Vide-grenier, sunday",,48.851538,2.363816,112,,,https://live.staticflickr.com/65535/52269218016_c651bb5e50_w.jpg
51983789918,"_DSC7655 : photo de Steve Mc Curry @ Exposition au musée Maillol, Paris",,48.855,2.324999,112,"'D780', 'art'","d780, art",https://live.staticflickr.com/65535/51983789918_ddff73e6de_w.jpg
52335637653,"Paris, France.",Right Bank of the Seine.,48.864002,2.319769,112,"'Paris', 'France', 'Europe', 'Nikon', 'D500'",,https://live.staticflickr.com/65535/52335637653_52f0cee241_w.jpg
